Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
07030,CONNECTICUT,MIDDLESEX,"1,030.07","1,015.36",981.02,"8,287.41"
07040,CONNECTICUT,NEW HAVEN,"1,017.24","1,001.98",966.38,"8,287.41"
07050,CONNECTICUT,NEW LONDON,"1,039.24","1,024.39",989.75,"8,287.41"
07060,CONNECTICUT,TOLLAND,"1,051.67","1,036.65","1,001.59","8,287.41"
07070,CONNECTICUT,WINDHAM,"1,032.49","1,017.38",982.13,"8,287.41"
08000,DELAWARE,KENT,"1,000.66","1,000.66",968.05,"7,719.90"
08010,DELAWARE,NEW CASTLE,"1,038.78","1,023.94",989.31,"7,719.90"
08020,DELAWARE,SUSSEX,"1,018.00","1,003.10",968.34,"7,719.90"
09000,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,998.62,985.30,954.23,"7,710.16"
10000,FLORIDA,ALACHUA,"1,004.64","1,004.64",974.75,"7,692.44"
10010,FLORIDA,BAKER,"1,103.93","1,087.37","1,048.73","7,692.44"
10020,FLORIDA,BAY,"1,055.95","1,046.57","1,011.18","7,692.44"
10030,FLORIDA,BRADFORD,"1,025.62","1,010.97",976.78,"7,692.44"
10040,FLORIDA,BREVARD,"1,037.70","1,009.40",943.36,"7,692.44"
10050,FLORIDA,BROWARD,"1,068.02","1,052.00","1,014.62","7,692.44"
10060,FLORIDA,CALHOUN,980.94,978.00,944.93,"7,692.44"
10070,FLORIDA,CHARLOTTE,"1,018.25","1,003.70",969.76,"7,692.44"
10080,FLORIDA,CITRUS,953.27,953.27,953.27,"7,692.44"
10090,FLORIDA,CLAY,997.16,982.20,947.30,"7,692.44"
10100,FLORIDA,COLLIER,"1,013.38",998.90,965.12,"7,692.44"
10110,FLORIDA,COLUMBIA,"1,068.76","1,052.73","1,015.32","7,692.44"
10120,FLORIDA,MIAMI-DADE,"1,096.79","1,080.34","1,041.95","7,692.44"
10130,FLORIDA,DESOTO,"1,042.97","1,028.07",993.30,"7,692.44"
10140,FLORIDA,DIXIE,"1,093.18","1,076.78","1,038.52","7,692.44"
10150,FLORIDA,DUVAL,"1,014.79",999.57,964.05,"7,692.44"
10160,FLORIDA,ESCAMBIA,"1,032.11","1,018.35",986.24,"7,692.44"
10170,FLORIDA,FLAGLER,"1,032.03","1,017.29",982.89,"7,692.44"
10180,FLORIDA,FRANKLIN,"1,003.51",989.17,955.72,"7,692.44"
10190,FLORIDA,GADSDEN,"1,054.77","1,029.46",970.39,"7,692.44"
10200,FLORIDA,GILCHRIST,"1,031.35","1,031.35","1,024.92","7,692.44"
10210,FLORIDA,GLADES,"1,043.07","1,030.21",994.51,"7,692.44"
10220,FLORIDA,GULF,"1,046.25","1,031.31",996.43,"7,692.44"
10230,FLORIDA,HAMILTON,979.41,979.41,966.53,"7,692.44"
10240,FLORIDA,HARDEE,950.61,937.03,905.34,"7,692.44"
10250,FLORIDA,HENDRY,"1,030.31","1,015.59",981.25,"7,692.44"
10260,FLORIDA,HERNANDO,"1,008.56",994.15,960.53,"7,692.44"
10270,FLORIDA,HIGHLANDS,"1,022.86","1,008.25",974.15,"7,692.44"
10280,FLORIDA,HILLSBOROUGH,"1,001.00",985.99,950.95,"7,692.44"
10290,FLORIDA,HOLMES,982.85,982.85,954.14,"7,692.44"
10300,FLORIDA,INDIAN RIVER,"1,021.07","1,006.49",972.45,"7,692.44"
10310,FLORIDA,JACKSON,981.44,981.44,981.44,"7,692.44"
10320,FLORIDA,JEFFERSON,"1,051.59","1,022.91",955.99,"7,692.44"
10330,FLORIDA,LAFAYETTE,"1,065.34","1,065.34","1,038.71","7,692.44"
10340,FLORIDA,LAKE,"1,003.25",988.92,955.48,"7,692.44"
10350,FLORIDA,LEE,"1,026.94","1,011.91",976.84,"7,692.44"
10360,FLORIDA,LEON,"1,069.62","1,043.95",984.06,"7,692.44"
10370,FLORIDA,LEVY,"1,007.12",992.01,956.76,"7,692.44"
10380,FLORIDA,LIBERTY,916.99,916.99,916.99,"7,692.44"
10390,FLORIDA,MADISON,974.94,974.94,974.94,"7,692.44"
10400,FLORIDA,MANATEE,"1,021.99","1,007.03",972.13,"7,692.44"
10410,FLORIDA,MARION,964.16,950.39,918.25,"7,692.44"
10420,FLORIDA,MARTIN,"1,043.09","1,027.44",990.94,"7,692.44"
10430,FLORIDA,MONROE,"1,093.32","1,076.92","1,038.65","7,692.44"
10440,FLORIDA,NASSAU,"1,025.85","1,011.20",977.00,"7,692.44"
10450,FLORIDA,OKALOOSA,978.29,964.31,931.70,"7,692.44"
10460,FLORIDA,OKEECHOBEE,"1,032.95","1,017.46",981.30,"7,692.44"
10470,FLORIDA,ORANGE,"1,035.18","1,020.40",985.89,"7,692.44"
10480,FLORIDA,OSCEOLA,"1,038.42","1,010.10",944.02,"7,692.44"
10490,FLORIDA,PALM BEACH,"1,070.07","1,054.02","1,016.57","7,692.44"
10500,FLORIDA,PASCO,"1,019.41","1,004.50",969.69,"7,692.44"
10510,FLORIDA,PINELLAS,"1,037.48","1,021.92",985.61,"7,692.44"
10520,FLORIDA,POLK,"1,043.20","1,014.75",948.36,"7,692.44"
10530,FLORIDA,PUTNAM,"1,033.11","1,017.99",982.71,"7,692.44"
10540,FLORIDA,ST. JOHNS,"1,025.57","1,010.92",976.73,"7,692.44"
10550,FLORIDA,ST. LUCIE,"1,049.49","1,034.49",999.51,"7,692.44"
10560,FLORIDA,SANTA ROSA,989.26,975.13,942.15,"7,692.44"
10570,FLORIDA,SARASOTA,"1,017.02","1,002.49",968.59,"7,692.44"
10580,FLORIDA,SEMINOLE,"1,033.69","1,018.56",983.27,"7,692.44"
10590,FLORIDA,SUMTER,982.67,968.64,935.88,"7,692.44"
10600,FLORIDA,SUWANNEE,"1,018.81","1,018.81","1,012.28","7,692.44"
10610,FLORIDA,TAYLOR,"1,044.09","1,029.17",994.37,"7,692.44"
10620,FLORIDA,UNION,"1,098.83","1,082.35","1,043.89","7,692.44"
10630,FLORIDA,VOLUSIA,"1,081.71","1,057.96",993.28,"7,692.44"
10640,FLORIDA,WAKULLA,"1,058.42","1,031.39",968.34,"7,692.44"
10650,FLORIDA,WALTON,980.28,966.28,933.60,"7,692.44"
10660,FLORIDA,WASHINGTON,"1,011.08","1,000.18",967.54,"7,692.44"
11000,GEORGIA,APPLING,"1,023.59","1,008.97",974.85,"7,675.33"
11010,GEORGIA,ATKINSON,"1,036.92","1,023.10",990.84,"7,675.33"
11011,GEORGIA,BACON,"1,087.23","1,070.92","1,032.87","7,675.33"
11020,GEORGIA,BAKER,968.38,968.38,951.23,"7,675.33"
11030,GEORGIA,BALDWIN,972.19,972.19,972.19,"7,675.33"
11040,GEORGIA,BANKS,981.62,981.62,981.62,"7,675.33"
11050,GEORGIA,BARROW,"1,020.52","1,006.91",975.16,"7,675.33"
11060,GEORGIA,BARTOW,"1,044.16","1,030.24",997.75,"7,675.33"
11070,GEORGIA,BEN HILL,979.55,979.55,979.55,"7,675.33"
11080,GEORGIA,BERRIEN,"1,032.06","1,017.31",982.91,"7,675.33"
11090,GEORGIA,BIBB,999.30,986.40,956.32,"7,675.33"
11100,GEORGIA,BLECKLEY,"1,024.22","1,012.49",977.41,"7,675.33"
11110,GEORGIA,BRANTLEY,"1,024.39","1,009.76",975.61,"7,675.33"
11120,GEORGIA,BROOKS,982.38,982.38,982.38,"7,675.33"
11130,GEORGIA,BRYAN,"1,065.79","1,052.47","1,021.38","7,675.33"
11140,GEORGIA,BULLOCH,976.19,976.19,976.19,"7,675.33"
11150,GEORGIA,BURKE,"1,014.01","1,001.34",971.76,"7,675.33"
11160,GEORGIA,BUTTS,"1,022.86","1,009.22",977.40,"7,675.33"
11161,GEORGIA,CALHOUN,"1,029.58","1,015.85",983.82,"7,675.33"
11170,GEORGIA,CAMDEN,"1,013.71",998.50,963.02,"7,675.33"
11180,GEORGIA,CANDLER,962.04,949.63,920.66,"7,675.33"
11190,GEORGIA,CARROLL,"1,074.74","1,060.88","1,028.52","7,675.33"
11200,GEORGIA,CATOOSA,"1,001.19",987.84,956.70,"7,675.33"
11210,GEORGIA,CHARLTON,"1,006.24",991.52,957.16,"7,675.33"
11220,GEORGIA,CHATHAM,"1,070.33","1,056.95","1,025.73","7,675.33"
11230,GEORGIA,CHATTAHOOCHEE,"1,010.24",997.62,968.15,"7,675.33"
11240,GEORGIA,CHATTOOGA,974.78,974.78,946.58,"7,675.33"
11250,GEORGIA,CHEROKEE,"1,006.16",991.79,958.25,"7,675.33"
11260,GEORGIA,CLARKE,977.00,977.00,977.00,"7,675.33"
11270,GEORGIA,CLAY,981.83,981.83,981.83,"7,675.33"
11280,GEORGIA,CLAYTON,"1,057.22","1,044.01","1,013.17","7,675.33"
11281,GEORGIA,CLINCH,"1,102.10","1,085.57","1,047.00","7,675.33"
11290,GEORGIA,COBB,"1,049.66","1,035.66","1,003.01","7,675.33"
11291,GEORGIA,COFFEE,"1,008.07","1,000.73",966.89,"7,675.33"
11300,GEORGIA,COLQUITT,995.92,995.92,995.92,"7,675.33"
11310,GEORGIA,COLUMBIA,977.34,964.31,933.91,"7,675.33"
11311,GEORGIA,COOK,980.44,980.44,980.44,"7,675.33"
11320,GEORGIA,COWETA,"1,038.95","1,025.10",992.77,"7,675.33"
11330,GEORGIA,CRAWFORD,971.54,971.54,971.54,"7,675.33"
11340,GEORGIA,CRISP,979.76,967.99,939.40,"7,675.33"
11341,GEORGIA,DADE,"1,048.32","1,035.22","1,004.64","7,675.33"
11350,GEORGIA,DAWSON,"1,064.76","1,050.56","1,017.43","7,675.33"
11360,GEORGIA,DECATUR,979.99,979.99,979.99,"7,675.33"
11370,GEORGIA,DEKALB,"1,031.77","1,018.87",988.78,"7,675.33"
11380,GEORGIA,DODGE,"1,036.01","1,021.21",986.68,"7,675.33"
11381,GEORGIA,DOOLY,977.56,977.56,977.56,"7,675.33"
11390,GEORGIA,DOUGHERTY,978.88,972.16,943.45,"7,675.33"
11400,GEORGIA,DOUGLAS,"1,041.59","1,027.22",993.70,"7,675.33"
11410,GEORGIA,EARLY,"1,024.60","1,024.60",998.45,"7,675.33"
11420,GEORGIA,ECHOLS,981.60,981.60,981.60,"7,675.33"
11421,GEORGIA,EFFINGHAM,"1,027.73","1,014.03",982.06,"7,675.33"
11430,GEORGIA,ELBERT,977.87,977.87,960.62,"7,675.33"
11440,GEORGIA,EMANUEL,966.31,966.31,963.02,"7,675.33"
11441,GEORGIA,EVANS,"1,031.62","1,018.72",988.63,"7,675.33"
11450,GEORGIA,FANNIN,"1,008.37",994.93,963.55,"7,675.33"
11451,GEORGIA,FAYETTE,"1,015.83","1,002.29",970.68,"7,675.33"
11460,GEORGIA,FLOYD,929.77,929.77,929.77,"7,675.33"
11461,GEORGIA,FORSYTH,983.69,969.64,936.85,"7,675.33"
11462,GEORGIA,FRANKLIN,978.28,978.28,978.28,"7,675.33"
11470,GEORGIA,FULTON,"1,058.56","1,044.90","1,013.03","7,675.33"
11471,GEORGIA,GILMER,"1,021.80","1,008.18",976.39,"7,675.33"
11480,GEORGIA,GLASCOCK,954.49,940.86,909.04,"7,675.33"
11490,GEORGIA,GLYNN,"1,041.20","1,041.20","1,019.99","7,675.33"
11500,GEORGIA,GORDON,978.25,978.25,978.25,"7,675.33"
11510,GEORGIA,GRADY,980.93,980.93,980.93,"7,675.33"
11520,GEORGIA,GREENE,"1,026.60","1,012.91",980.97,"7,675.33"
11530,GEORGIA,GWINNETT,"1,065.14","1,051.83","1,020.76","7,675.33"
11540,GEORGIA,HABERSHAM,981.90,981.90,981.90,"7,675.33"
11550,GEORGIA,HALL,981.70,981.70,963.96,"7,675.33"
11560,GEORGIA,HANCOCK,983.51,971.21,942.53,"7,675.33"
11570,GEORGIA,HARALSON,"1,034.73","1,020.93",988.74,"7,675.33"
11580,GEORGIA,HARRIS,"1,006.00",993.42,964.08,"7,675.33"
11581,GEORGIA,HART,976.24,976.24,957.23,"7,675.33"
11590,GEORGIA,HEARD,"1,045.64","1,032.57","1,002.08","7,675.33"
11591,GEORGIA,HENRY,"1,054.00","1,040.82","1,010.08","7,675.33"
11600,GEORGIA,HOUSTON,"1,008.02",994.58,963.22,"7,675.33"
11601,GEORGIA,IRWIN,977.18,977.18,977.18,"7,675.33"
11610,GEORGIA,JACKSON,979.55,979.55,954.74,"7,675.33"
11611,GEORGIA,JASPER,995.81,982.53,951.55,"7,675.33"
11612,GEORGIA,JEFF DAVIS,977.15,977.15,953.14,"7,675.33"
11620,GEORGIA,JEFFERSON,963.79,963.79,963.79,"7,675.33"
11630,GEORGIA,JENKINS,"1,041.63","1,027.74",995.33,"7,675.33"
11640,GEORGIA,JOHNSON,"1,000.86",992.51,963.19,"7,675.33"
11650,GEORGIA,JONES,"1,003.46",990.08,958.86,"7,675.33"
11651,GEORGIA,LAMAR,"1,053.63","1,026.73",963.96,"7,675.33"
11652,GEORGIA,LANIER,"1,063.69","1,049.02","1,014.79","7,675.33"
11660,GEORGIA,LAURENS,976.86,976.86,974.85,"7,675.33"
11670,GEORGIA,LEE,977.93,972.60,943.87,"7,675.33"
11680,GEORGIA,LIBERTY,"1,028.71","1,015.85",985.85,"7,675.33"
11690,GEORGIA,LINCOLN,972.87,959.45,928.14,"7,675.33"
11691,GEORGIA,LONG,"1,009.74","1,009.74",990.38,"7,675.33"
11700,GEORGIA,LOWNDES,980.32,980.32,980.32,"7,675.33"
11701,GEORGIA,LUMPKIN,"1,038.43","1,024.11",990.69,"7,675.33"
11702,GEORGIA,MCDUFFIE,"1,021.35","1,007.74",975.96,"7,675.33"
11703,GEORGIA,MCINTOSH,"1,076.79","1,062.44","1,028.94","7,675.33"
11710,GEORGIA,MACON,"1,023.54","1,010.75",980.89,"7,675.33"
11720,GEORGIA,MADISON,978.44,965.39,934.95,"7,675.33"
11730,GEORGIA,MARION,880.15,869.15,843.48,"7,675.33"
11740,GEORGIA,MERIWETHER,"1,081.82","1,081.82","1,026.49","7,675.33"
11741,GEORGIA,MILLER,"1,000.62","1,000.62",991.95,"7,675.33"
11750,GEORGIA,MITCHELL,980.15,980.15,959.15,"7,675.33"
11760,GEORGIA,MONROE,"1,001.94",995.24,962.76,"7,675.33"
11770,GEORGIA,MONTGOMERY,"1,056.84","1,056.79","1,025.58","7,675.33"
11771,GEORGIA,MORGAN,974.31,974.31,966.00,"7,675.33"
11772,GEORGIA,MURRAY,977.98,977.98,975.51,"7,675.33"
11780,GEORGIA,MUSCOGEE,984.00,971.70,943.00,"7,675.33"
11790,GEORGIA,NEWTON,"1,008.18",994.74,963.37,"7,675.33"
11800,GEORGIA,OCONEE,"1,004.23","1,004.23",991.67,"7,675.33"
11801,GEORGIA,OGLETHORPE,978.12,978.12,978.12,"7,675.33"
11810,GEORGIA,PAULDING,"1,020.88","1,007.27",975.51,"7,675.33"
11811,GEORGIA,PEACH,970.79,957.40,926.16,"7,675.33"
11812,GEORGIA,PICKENS,999.27,985.00,951.69,"7,675.33"
11820,GEORGIA,PIERCE,977.77,977.77,977.77,"7,675.33"
11821,GEORGIA,PIKE,986.45,972.84,941.10,"7,675.33"
11830,GEORGIA,POLK,992.12,982.04,948.83,"7,675.33"
11831,GEORGIA,PULASKI,974.01,974.01,974.01,"7,675.33"
11832,GEORGIA,PUTNAM,992.39,978.70,946.76,"7,675.33"
11833,GEORGIA,QUITMAN,976.89,976.89,976.89,"7,675.33"
11834,GEORGIA,RABUN,989.80,976.15,944.29,"7,675.33"
11835,GEORGIA,RANDOLPH,966.65,954.56,926.37,"7,675.33"
11840,GEORGIA,RICHMOND,992.77,979.53,948.64,"7,675.33"
11841,GEORGIA,ROCKDALE,"1,033.83","1,020.05",987.88,"7,675.33"
11842,GEORGIA,SCHLEY,978.50,978.50,978.50,"7,675.33"
11850,GEORGIA,SCREVEN,971.88,971.88,971.88,"7,675.33"
11851,GEORGIA,SEMINOLE,"1,017.06","1,017.06","1,017.06","7,675.33"
11860,GEORGIA,SPALDING,"1,000.41",987.07,955.94,"7,675.33"
11861,GEORGIA,STEPHENS,981.36,981.36,981.36,"7,675.33"
11862,GEORGIA,STEWART,"1,036.91","1,023.95",993.70,"7,675.33"
11870,GEORGIA,SUMTER,967.73,955.63,927.41,"7,675.33"
11880,GEORGIA,TALBOT,939.95,928.20,900.78,"7,675.33"
11881,GEORGIA,TALIAFERRO,988.14,975.79,946.97,"7,675.33"
11882,GEORGIA,TATTNALL,"1,023.50","1,009.86",978.01,"7,675.33"
11883,GEORGIA,TAYLOR,973.61,973.61,973.61,"7,675.33"
11884,GEORGIA,TELFAIR,986.70,972.60,939.71,"7,675.33"
11885,GEORGIA,TERRELL,973.61,961.44,933.04,"7,675.33"
11890,GEORGIA,THOMAS,980.98,980.98,980.98,"7,675.33"
11900,GEORGIA,TIFT,979.67,979.67,979.67,"7,675.33"
11901,GEORGIA,TOOMBS,976.27,976.27,976.27,"7,675.33"
11902,GEORGIA,TOWNS,978.67,978.67,950.21,"7,675.33"
11903,GEORGIA,TREUTLEN,974.00,974.00,974.00,"7,675.33"
11910,GEORGIA,TROUP,978.28,978.28,978.28,"7,675.33"
11911,GEORGIA,TURNER,980.09,980.09,980.09,"7,675.33"
11912,GEORGIA,TWIGGS,967.44,955.35,927.13,"7,675.33"
11913,GEORGIA,UNION,979.30,979.30,979.30,"7,675.33"
11920,GEORGIA,UPSON,977.35,977.35,962.89,"7,675.33"
11921,GEORGIA,WALKER,"1,024.37","1,011.15",980.31,"7,675.33"
11930,GEORGIA,WALTON,"1,020.40","1,006.79",975.05,"7,675.33"
11940,GEORGIA,WARE,977.36,977.36,977.36,"7,675.33"
11941,GEORGIA,WARREN,959.34,959.34,959.34,"7,675.33"
11950,GEORGIA,WASHINGTON,964.58,964.58,943.52,"7,675.33"
11960,GEORGIA,WAYNE,"1,031.65","1,016.91",982.52,"7,675.33"
11961,GEORGIA,WEBSTER,954.43,942.50,914.66,"7,675.33"
11962,GEORGIA,WHEELER,"1,053.76","1,038.71","1,003.58","7,675.33"
11963,GEORGIA,WHITE,982.21,982.21,982.21,"7,675.33"
11970,GEORGIA,WHITFIELD,979.28,979.28,956.27,"7,675.33"
11971,GEORGIA,WILCOX,976.90,976.90,945.64,"7,675.33"
11972,GEORGIA,WILKES,972.25,972.25,972.25,"7,675.33"
11973,GEORGIA,WILKINSON,974.45,974.45,964.80,"7,675.33"
11980,GEORGIA,WORTH,979.63,979.63,979.63,"7,675.33"
12010,HAWAII,HAWAII,956.11,944.16,916.27,"8,103.59"
12020,HAWAII,HONOLULU,908.12,886.33,835.48,"8,103.59"
12030,HAWAII,KALAWAO,979.39,967.15,938.58,"8,103.59"
12040,HAWAII,KAUAI,978.95,978.95,966.29,"8,103.59"
12050,HAWAII,MAUI,979.39,967.15,938.58,"8,103.59"
13000,IDAHO,ADA,"1,038.45","1,013.53",955.37,"7,109.99"
13010,IDAHO,ADAMS,953.69,953.69,953.69,"7,109.99"
13020,IDAHO,BANNOCK,969.45,969.45,969.45,"7,109.99"
13030,IDAHO,BEAR LAKE,"1,144.62","1,127.45","1,087.39","7,109.99"
13040,IDAHO,BENEWAH,"1,050.26","1,035.26","1,000.25","7,109.99"
13050,IDAHO,BINGHAM,973.67,973.67,968.42,"7,109.99"
13060,IDAHO,BLAINE,"1,113.10","1,096.40","1,057.45","7,109.99"
13070,IDAHO,BOISE,"1,078.32","1,049.88",983.52,"7,109.99"
13080,IDAHO,BONNER,979.32,979.32,967.75,"7,109.99"
13090,IDAHO,BONNEVILLE,980.97,980.97,980.97,"7,109.99"
13100,IDAHO,BOUNDARY,981.28,975.41,946.60,"7,109.99"
13110,IDAHO,BUTTE,"1,138.24","1,121.17","1,081.33","7,109.99"
13120,IDAHO,CAMAS,984.49,984.49,984.49,"7,109.99"
13130,IDAHO,CANYON,"1,027.55","1,002.89",945.35,"7,109.99"
13140,IDAHO,CARIBOU,"1,258.29","1,239.42","1,195.38","7,109.99"
13150,IDAHO,CASSIA,978.81,978.81,978.81,"7,109.99"
13160,IDAHO,CLARK,"1,028.61","1,014.90",982.89,"7,109.99"
13170,IDAHO,CLEARWATER,"1,037.60","1,022.41",986.98,"7,109.99"
13180,IDAHO,CUSTER,"1,076.58","1,060.43","1,022.75","7,109.99"
13190,IDAHO,ELMORE,981.85,981.85,981.85,"7,109.99"
13200,IDAHO,FRANKLIN,"1,000.51","1,000.51",991.24,"7,109.99"
13210,IDAHO,FREMONT,980.30,980.30,979.83,"7,109.99"
13220,IDAHO,GEM,"1,059.53","1,034.10",974.76,"7,109.99"
13230,IDAHO,GOODING,"1,087.39","1,071.08","1,033.02","7,109.99"
13240,IDAHO,IDAHO,"1,067.26","1,051.25","1,013.90","7,109.99"
13250,IDAHO,JEFFERSON,980.23,980.23,966.36,"7,109.99"
13260,IDAHO,JEROME,981.25,981.25,981.25,"7,109.99"
13270,IDAHO,KOOTENAI,"1,037.66","1,037.66","1,009.09","7,109.99"
13280,IDAHO,LATAH,980.58,980.58,980.58,"7,109.99"
13290,IDAHO,LEMHI,"1,032.65","1,017.90",983.48,"7,109.99"
13300,IDAHO,LEWIS,"1,051.70","1,035.92",999.12,"7,109.99"
13310,IDAHO,LINCOLN,976.56,976.56,976.56,"7,109.99"
13320,IDAHO,MADISON,979.62,979.62,979.62,"7,109.99"
13330,IDAHO,MINIDOKA,978.65,978.65,978.65,"7,109.99"
13340,IDAHO,NEZ PERCE,"1,018.98","1,018.98","1,002.62","7,109.99"
13350,IDAHO,ONEIDA,"1,122.27","1,105.44","1,066.16","7,109.99"
13360,IDAHO,OWYHEE,997.75,973.80,917.93,"7,109.99"
13370,IDAHO,PAYETTE,981.74,981.74,981.74,"7,109.99"
13380,IDAHO,POWER,"1,003.42","1,003.42",983.80,"7,109.99"
13390,IDAHO,SHOSHONE,991.18,977.97,947.13,"7,109.99"
13400,IDAHO,TETON,"1,198.56","1,180.58","1,138.63","7,109.99"
13410,IDAHO,TWIN FALLS,981.45,981.45,981.45,"7,109.99"
13420,IDAHO,VALLEY,"1,095.58","1,090.98","1,053.18","7,109.99"
13430,IDAHO,WASHINGTON,982.27,982.27,977.49,"7,109.99"
14000,ILLINOIS,ADAMS,967.04,967.04,967.04,"8,045.96"
14010,ILLINOIS,ALEXANDER,980.48,980.48,953.79,"8,045.96"
14020,ILLINOIS,BOND,"1,041.08","1,027.19",994.81,"8,045.96"
14030,ILLINOIS,BOONE,"1,040.19","1,026.32",993.96,"8,045.96"
14040,ILLINOIS,BROWN,964.01,964.01,964.01,"8,045.96"
14050,ILLINOIS,BUREAU,971.14,959.75,927.29,"8,045.96"
14060,ILLINOIS,CALHOUN,"1,049.54","1,035.54","1,002.89","8,045.96"
14070,ILLINOIS,CARROLL,968.96,968.96,964.08,"8,045.96"
14080,ILLINOIS,CASS,958.51,958.51,958.51,"8,045.96"
14090,ILLINOIS,CHAMPAIGN,968.43,968.43,968.43,"8,045.96"
14100,ILLINOIS,CHRISTIAN,964.33,964.33,964.33,"8,045.96"
14110,ILLINOIS,CLARK,966.97,966.97,966.97,"8,045.96"
14120,ILLINOIS,CLAY,"1,001.92",986.89,951.82,"8,045.96"
14130,ILLINOIS,CLINTON,"1,042.01","1,028.12",995.70,"8,045.96"
14140,ILLINOIS,COLES,976.21,976.21,976.21,"8,045.96"
14141,ILLINOIS,COOK,"1,044.12","1,028.46",991.91,"8,045.96"
14150,ILLINOIS,CRAWFORD,976.58,974.17,941.23,"8,045.96"
14160,ILLINOIS,CUMBERLAND,990.58,990.58,979.23,"8,045.96"
14170,ILLINOIS,DEKALB,"1,049.82","1,034.82",999.83,"8,045.96"
14180,ILLINOIS,DE WITT,982.72,982.72,969.05,"8,045.96"
14190,ILLINOIS,DOUGLAS,961.44,961.44,961.44,"8,045.96"
14250,ILLINOIS,DUPAGE,"1,043.05","1,028.15",993.38,"8,045.96"
14310,ILLINOIS,EDGAR,971.50,971.50,971.50,"8,045.96"
14320,ILLINOIS,EDWARDS,984.86,984.86,964.14,"8,045.96"
14330,ILLINOIS,EFFINGHAM,973.44,973.44,973.44,"8,045.96"
14340,ILLINOIS,FAYETTE,985.79,973.10,940.19,"8,045.96"
14350,ILLINOIS,FORD,"1,068.89","1,052.86","1,015.45","8,045.96"
14360,ILLINOIS,FRANKLIN,977.43,977.43,947.12,"8,045.96"
14370,ILLINOIS,FULTON,956.13,944.31,912.38,"8,045.96"
14380,ILLINOIS,GALLATIN,999.46,999.46,999.46,"8,045.96"
14390,ILLINOIS,GREENE,"1,091.57","1,075.20","1,036.99","8,045.96"
14400,ILLINOIS,GRUNDY,"1,052.13","1,036.35",999.52,"8,045.96"
14410,ILLINOIS,HAMILTON,"1,017.66","1,017.66",996.55,"8,045.96"
14420,ILLINOIS,HANCOCK,989.16,989.16,970.72,"8,045.96"
14421,ILLINOIS,HARDIN,"1,057.00","1,041.15","1,004.15","8,045.96"
14440,ILLINOIS,HENDERSON,945.34,945.34,945.34,"8,045.96"
14450,ILLINOIS,HENRY,968.69,955.78,925.64,"8,045.96"
14460,ILLINOIS,IROQUOIS,995.74,995.74,995.74,"8,045.96"
14470,ILLINOIS,JACKSON,956.79,956.79,932.43,"8,045.96"
14480,ILLINOIS,JASPER,973.13,973.13,958.38,"8,045.96"
14490,ILLINOIS,JEFFERSON,968.71,968.71,968.71,"8,045.96"
14500,ILLINOIS,JERSEY,"1,024.32","1,010.67",978.80,"8,045.96"
14510,ILLINOIS,JO DAVIESS,"1,010.63","1,010.63",986.36,"8,045.96"
14520,ILLINOIS,JOHNSON,974.38,974.38,974.38,"8,045.96"
14530,ILLINOIS,KANE,"1,065.22","1,049.63","1,013.26","8,045.96"
14540,ILLINOIS,KANKAKEE,"1,031.84","1,017.09",982.70,"8,045.96"
14550,ILLINOIS,KENDALL,"1,059.20","1,044.07","1,008.76","8,045.96"
14560,ILLINOIS,KNOX,972.57,972.57,954.46,"8,045.96"
14570,ILLINOIS,LAKE,"1,037.28","1,022.10",986.68,"8,045.96"
14580,ILLINOIS,LA SALLE,"1,000.68","1,000.68",973.65,"8,045.96"
14590,ILLINOIS,LAWRENCE,"1,022.51","1,007.17",971.38,"8,045.96"
14600,ILLINOIS,LEE,970.72,970.72,969.41,"8,045.96"
14610,ILLINOIS,LIVINGSTON,974.83,962.60,930.05,"8,045.96"
14620,ILLINOIS,LOGAN,965.27,964.62,933.14,"8,045.96"
14630,ILLINOIS,MCDONOUGH,967.92,967.92,967.92,"8,045.96"
14640,ILLINOIS,MCHENRY,"1,034.17","1,018.66",982.46,"8,045.96"
14650,ILLINOIS,MCLEAN,975.10,975.10,959.38,"8,045.96"
14660,ILLINOIS,MACON,976.07,976.07,947.52,"8,045.96"
14670,ILLINOIS,MACOUPIN,"1,043.87","1,029.95",997.47,"8,045.96"
14680,ILLINOIS,MADISON,"1,047.42","1,034.33","1,003.78","8,045.96"
14690,ILLINOIS,MARION,"1,033.07","1,018.32",983.88,"8,045.96"
14700,ILLINOIS,MARSHALL,"1,008.00",994.56,963.20,"8,045.96"
14710,ILLINOIS,MASON,"1,025.05","1,025.05","1,011.71","8,045.96"
14720,ILLINOIS,MASSAC,979.78,979.78,979.78,"8,045.96"
14730,ILLINOIS,MENARD,950.56,950.56,950.56,"8,045.96"
14740,ILLINOIS,MERCER,"1,005.29",990.93,957.42,"8,045.96"
14750,ILLINOIS,MONROE,"1,016.34","1,002.79",971.17,"8,045.96"
14760,ILLINOIS,MONTGOMERY,964.02,964.02,964.02,"8,045.96"
